Stock Name,Date,QT,Stock Count,Sector,Market Cap,Ticker Twitter Sentiment,Company Name Twitter Sentiment,Week's Headline Sentiment,Month's Headline Sentiment,Quarter's Headline Sentiment,Zacks Ranks,Yahoo Ranks,The Street Ranks,Investor Place,Company,Industry,Country,P/E,Price,Volume,EPS Time,EPS next 5Y,EPS next Y,EPS past 5Y,EPS this Y,Fwd P/E,P/B,P/C,P/FCF,P/S,PEG,Sales past 5Y,Curr R,Debt/Eq,Divident,Earnings,Gross M,LTDebt/Eq,Oper M,Profit M,Quick R,ROA,ROE,ROI,Avg Volume,Float,Float Short,Insider Own,Insider Trans,Inst Own,Inst Trans,Outstanding,Short Ratio,Perf Half,Perf Month,Perf Quart,Perf Week,Perf YTD,Perf Year,Recom,Rel Volume,Volatility M,Volatility W,52W High,52W Low,ATR,Beta,Gap,RSI,SMA20,SMA200,SMA50,from Open
AFMD,November18,4,1,Healthcare,153.09M,0.14370333333333332,0.196125,0.13711666666666666,0.1289928571428572,0.07717647058823532,3-Hold ,STRONG BUY,D- (Sell),D,Affimed N.V.,Biotechnology,Germany,,2.43,"508,753",Tomorrow Before Market EPS,,-21.60%,22.80%,53.40%,,4.19,1.58,3.12,3.62,,36.10%,3.50,0.14,,Nov 19/b,,0.02,-29.10%,-30.60%,3.50,-12.50%,-31.00%,-43.50%,542.52K,58.47M,9.91%,8.15%,0.00%,46.00%,-9.66%,63.00M,10.68,-26.81%,-15.63%,-14.74%,-6.54%,-21.86%,-41.16%,1.40,0.94,5.54%,5.49%,-52.17%,6.58%,0.17,2.70,0.00%,33.66,-12.60%,-24.32%,-17.60%,-1.62%
AIRI,November18,4,1,Industrial Goods,39.29M,0.14370333333333332,0.196125,0.13711666666666666,0.1289928571428572,0.07717647058823532,2-Buy ,STRONG BUY,E+ (Sell),C,Air Industries Group,Aerospace/Defense Products & Services,USA,,1.32,"98,179",Today After Market EPS,,36.40%,-20.70%,70.60%,,3.57,130.97,,0.75,,-5.90%,1.10,2.26,,Nov 18/a,15.10%,0.20,-4.40%,-15.40%,0.20,-15.90%,-74.40%,-16.30%,22.21K,21.77M,0.09%,20.40%,,21.90%,2.13%,29.75M,0.85,19.04%,10.98%,20.06%,6.51%,84.71%,6.51%,1.00,4.42,4.96%,4.91%,-11.36%,88.64%,0.07,0.97,8.26%,60.53,11.88%,12.60%,4.89%,0.82%
ARMK,November18,4,2,Services,10.76B,0.07135666666666665,0.3618923076923077,0.2557,0.17274285714285711,0.21439375000000002,3-Hold ,BUY,B (Buy),B,Aramark,Specialty Eateries,USA,23.52,43.94,"3,121,166",Tomorrow Before Market EPS,9.20%,10.88%,31.10%,-12.30%,17.67,3.30,48.90,23.07,0.66,2.56,2.50%,1.20,2.21,1.00%,Nov 19/b,11.00%,2.19,6.00%,3.30%,1.00,3.90%,16.90%,6.70%,2.78M,244.07M,4.51%,1.00%,-0.31%,,3.00%,244.93M,3.96,36.25%,-1.39%,11.61%,2.59%,51.67%,19.60%,2.10,1.12,1.43%,1.35%,-2.44%,72.38%,0.63,0.87,0.21%,56.93,0.65%,21.72%,1.52%,0.43%
ASH,November18,4,2,Basic Materials,4.80B,0.07135666666666665,0.3618923076923077,0.2557,0.17274285714285711,0.21439375000000002,3-Hold ,BUY,C (Hold),D,Ashland Global Holdings Inc.,Chemicals - Major Diversified,USA,208.07,78.65,"679,544",Today After Market EPS,5.67%,29.67%,-25.00%,177.10%,22.44,1.49,36.35,159.92,1.69,36.67,-9.30%,2.00,0.81,1.40%,Nov 18/a,29.80%,0.71,4.60%,3.70%,1.40,1.30%,3.10%,3.70%,445.67K,60.28M,3.18%,0.40%,0.00%,97.60%,-0.97%,61.00M,4.31,9.07%,2.70%,8.86%,0.89%,10.84%,-4.48%,1.80,1.52,1.40%,1.35%,-5.65%,21.12%,1.17,1.26,0.18%,56.05,1.24%,2.15%,2.16%,-0.43%
ASND,November18,4,3,Healthcare,5.05B,0.000823333333333331,0.30568666666666666,0.215625,0.23039642857142856,0.21583469387755108,2-Buy ,STRONG BUY,D (Sell),B,Ascendis Pharma A/S,Biotechnology,Denmark,,106.98,"722,731",Today After Market EPS,,,,14.10%,,6.78,6.63,,239.11,,-12.30%,11.60,0.05,,Nov 18/a,,0.05,,,11.60,-32.70%,-36.10%,-55.10%,211.13K,6.00M,,,,,,47.16M,,-15.34%,8.18%,-7.39%,-5.55%,70.76%,84.42%,,3.42,3.61%,4.82%,-20.14%,95.70%,3.94,0.63,0.01%,44.87,-2.56%,-2.74%,2.92%,-4.92%
AUMN,November18,4,3,Basic Materials,23.16M,0.000823333333333331,0.30568666666666666,0.215625,0.23039642857142856,0.21583469387755108,3-Hold ,,D (Sell),C,Golden Minerals Company,Industrial Metals & Minerals,USA,,0.21,"58,350",Tomorrow Before Market EPS,,,67.40%,51.90%,,5.24,,,5.94,,-7.50%,1.10,0.00,,Nov 19/b,67.20%,0.00,,,1.00,,,-26.00%,177.05K,63.09M,2.63%,1.44%,0.00%,42.20%,0.58%,110.48M,9.36,-16.96%,-6.34%,-16.06%,-8.15%,-4.25%,-12.67%,,0.33,5.62%,5.04%,-44.55%,4.80%,0.01,0.77,0.10%,35.28,-5.90%,-21.02%,-11.71%,-0.10%
BFRA,November18,4,4,Healthcare,261.25M,0.09603333333333332,0.10829,0.023433333333333316,0.08102666666666665,0.06231666666666665,,BUY,,C,Biofrontera AG,Biotechnology,Germany,,11.65,175,Tomorrow Before Market EPS,,-3500.00%,,104.30%,,17.18,,,,,,,,,Nov 19/b,,,,,,,,,1.62K,10.26M,0.00%,0.04%,0.00%,2.04%,,22.42M,0.00,-12.13%,-23.71%,-19.15%,-1.77%,-0.51%,-23.86%,2.50,0.11,1.30%,1.27%,-36.41%,5.53%,0.49,,4.94%,33.19,-12.96%,-15.35%,-24.31%,0.00%
BILI,November18,4,4,Technology,5.18B,0.09603333333333332,0.10829,0.023433333333333316,0.08102666666666665,0.06231666666666665,3-Hold ,BUY,C- (Hold),C,Bilibili Inc.,Internet Information Providers,China,,16.38,"3,762,374",Today After Market EPS,,54.80%,,-28.90%,,4.55,4.24,,7.06,,,2.80,0.42,,Nov 18/a,16.20%,0.41,-23.30%,-18.00%,,-8.30%,-13.80%,-10.90%,2.63M,202.92M,7.53%,6.12%,0.00%,38.80%,5.24%,316.07M,5.82,10.90%,13.67%,14.47%,-2.33%,12.27%,13.20%,1.70,1.43,2.94%,3.23%,-23.81%,29.38%,0.48,,1.80%,55.29,2.28%,2.05%,8.34%,-3.70%
BWL-A,November18,4,5,Services,78.12M,-0.035673333333333335,0.058592857142857134,0.09945714285714287,0.10780555555555554,0.07762,,,,,Bowl America Incorporated,Sporting Activities,USA,26.60,15.72,267,Tomorrow Before Market EPS,,,17.30%,-4.20%,,3.48,10.15,,3.20,,1.40%,2.80,0.00,4.45%,Nov 19/b,66.40%,0.00,11.10%,,2.60,,,9.70%,1.21K,2.29M,,,,25.40%,0.32%,4.97M,,1.30%,5.50%,6.74%,1.18%,-2.97%,4.79%,,0.22,0.68%,0.63%,-10.07%,12.52%,0.34,0.17,0.03%,50.94,1.65%,2.97%,1.72%,-6.15%
CARV,November18,4,6,Financial,11.87M,0.23278333333333334,,0.11652499999999999,0.20005714285714285,0.18216923076923072,,,D- (Sell),D,"Carver Bancorp, Inc.",Savings & Loans,USA,,2.90,"3,266",Tomorrow Before Market EPS,,,-48.00%,-209.40%,,1.73,0.30,,0.52,,0.00%,,0.00,,Nov 19/b,,0.00,,,,,,111.90%,3.44K,1.35M,1.24%,0.60%,0.00%,14.80%,,4.09M,4.85,-15.60%,10.73%,-11.82%,-6.42%,-2.65%,-31.75%,,0.95,6.35%,3.68%,-52.09%,26.13%,0.23,1.95,4.55%,45.85,-4.56%,-11.41%,-5.45%,-2.98%
CCMP,November18,4,5,Technology,3.85B,-0.035673333333333335,0.058592857142857134,0.09945714285714287,0.10780555555555554,0.07762,2-Buy ,BUY,A (Buy),B,Cabot Microelectronics Corporation,Semiconductor - Integrated Circuits,USA,36.57,132.59,"880,130",Today After Market EPS,13.00%,14.33%,17.40%,43.60%,17.39,3.76,,39.04,4.21,2.81,6.40%,3.10,0.92,1.27%,Nov 18/a,45.20%,0.91,18.80%,11.80%,2.10,5.50%,11.60%,19.00%,197.65K,28.64M,2.39%,0.70%,-19.72%,98.15%,-1.00%,29.06M,3.47,27.32%,-9.27%,8.32%,-15.17%,39.06%,29.65%,2.20,4.45,3.00%,5.05%,-17.55%,61.22%,5.34,1.38,-0.04%,29.86,-13.86%,9.34%,-8.88%,-14.98%
CNET,November18,4,7,Services,21.08M,0.09995454545454545,,0.27115,0.10846,0.2147777777777778,,,D- (Sell),D,"ChinaNet Online Holdings, Inc.",Advertising Agencies,China,,1.24,"35,720",Tomorrow Before Market EPS,,,,-29.60%,,2.42,26.35,,0.42,,13.50%,1.30,0.05,,Nov 19/b,3.30%,0.00,,,1.30,,,-180.80%,174.38K,10.94M,5.77%,34.68%,0.00%,0.70%,,17.05M,3.62,-1.87%,0.53%,-10.40%,-8.41%,-7.73%,-33.16%,,0.20,8.21%,3.44%,-56.46%,21.23%,0.09,2.55,2.46%,44.24,-6.92%,-15.60%,-5.01%,-1.08%
CRMT,November18,4,6,Services,595.12M,0.23278333333333334,,0.11652499999999999,0.20005714285714285,0.18216923076923072,3-Hold ,BUY,B+ (Buy),B,"America's Car-Mart, Inc.",Auto Dealerships,USA,12.23,90.72,"199,088",Today After Market EPS,7.50%,4.95%,24.50%,76.40%,10.97,2.22,371.95,33.06,0.88,1.63,6.50%,,0.59,,Nov 18/a,48.50%,0.58,11.00%,7.70%,,10.30%,20.40%,13.40%,91.78K,6.10M,6.27%,1.90%,-10.74%,79.70%,-0.51%,6.56M,4.17,-10.96%,1.15%,2.15%,1.70%,25.22%,26.00%,1.80,2.17,2.50%,3.37%,-12.81%,36.92%,2.34,0.81,-0.17%,50.22,-0.33%,2.52%,0.46%,3.67%
